regiao;estado;municipio;coduf;codmun;codRegiaoSaude;nomeRegiaoSaude;data;semanaEpi;populacaoTCU2019;casosAcumulado;obitosAcumulado;Recuperadosnovos;emAcompanhamentoNovos
Brasil;;;76;;;;2020-02-26;9;210147125;1;0;;
Brasil;;;76;;;;2020-02-27;9;210147125;1;0;;
Brasil;;;76;;;;2020-02-28;9;210147125;1;0;;
Brasil;;;76;;;;2020-02-29;9;210147125;2;0;;
Brasil;;;76;;;;2020-03-01;10;210147125;2;0;;
Brasil;;;76;;;;2020-03-02;10;210147125;2;0;;
Brasil;;;76;;;;2020-03-03;10;210147125;2;0;;
Brasil;;;76;;;;2020-03-04;10;210147125;3;0;;
Brasil;;;76;;;;2020-03-05;10;210147125;7;0;;
Brasil;;;76;;;;2020-03-06;10;210147125;13;0;;
Brasil;;;76;;;;2020-03-07;10;210147125;19;0;;
Brasil;;;76;;;;2020-03-08;11;210147125;25;0;;
Brasil;;;76;;;;2020-03-09;11;210147125;25;0;;
Brasil;;;76;;;;2020-03-10;11;210147125;34;0;;
Brasil;;;76;;;;2020-03-11;11;210147125;52;0;;
Brasil;;;76;;;;2020-03-12;11;210147125;77;0;;
Brasil;;;76;;;;2020-03-13;11;210147125;98;0;;
Brasil;;;76;;;;2020-03-14;11;210147125;121;0;;
Brasil;;;76;;;;2020-03-15;12;210147125;200;0;;
Brasil;;;76;;;;2020-03-16;12;210147125;234;0;;
Brasil;;;76;;;;2020-03-17;12;210147125;291;1;;
Brasil;;;76;;;;2020-03-18;12;210147125;428;4;;
Brasil;;;76;;;;2020-03-19;12;210147125;621;6;;
Brasil;;;76;;;;2020-03-20;12;210147125;904;11;;
Brasil;;;76;;;;2020-03-21;12;210147125;1128;18;;
Brasil;;;76;;;;2020-03-22;13;210147125;1546;25;;
Brasil;;;76;;;;2020-03-23;13;210147125;1891;34;;
Brasil;;;76;;;;2020-03-24;13;210147125;2201;46;;
Brasil;;;76;;;;2020-03-25;13;210147125;2433;57;;
Brasil;;;76;;;;2020-03-26;13;210147125;2915;77;;
Brasil;;;76;;;;2020-03-27;13;210147125;3417;92;;
Brasil;;;76;;;;2020-03-28;13;210147125;3903;114;;
Brasil;;;76;;;;2020-03-29;14;210147125;4256;136;;
Brasil;;;76;;;;2020-03-30;14;210147125;4579;159;;
Brasil;;;76;;;;2020-03-31;14;210147125;5717;201;;
Brasil;;;76;;;;2020-04-01;14;210147125;6834;241;;
Brasil;;;76;;;;2020-04-02;14;210147125;7910;299;;
Brasil;;;76;;;;2020-04-03;14;210147125;9056;359;;
Brasil;;;76;;;;2020-04-04;14;210147125;10278;432;;
Brasil;;;76;;;;2020-04-05;15;210147125;11130;486;;
Brasil;;;76;;;;2020-04-06;15;210147125;12056;553;;
Brasil;;;76;;;;2020-04-07;15;210147125;13717;667;;
Brasil;;;76;;;;2020-04-08;15;210147125;15927;800;;
Brasil;;;76;;;;2020-04-09;15;210147125;17857;941;;
Brasil;;;76;;;;2020-04-10;15;210147125;19638;1056;;
Brasil;;;76;;;;2020-04-11;15;210147125;20727;1124;;
Brasil;;;76;;;;2020-04-12;16;210147125;22169;1223;;
Brasil;;;76;;;;2020-04-13;16;210147125;23430;1328;;
Brasil;;;76;;;;2020-04-14;16;210147125;25262;1532;;
Brasil;;;76;;;;2020-04-15;16;210147125;28320;1736;;
Brasil;;;76;;;;2020-04-16;16;210147125;30425;1924;;
Brasil;;;76;;;;2020-04-17;16;210147125;33682;2141;;
Brasil;;;76;;;;2020-04-18;16;210147125;36599;2347;;
Brasil;;;76;;;;2020-04-19;17;210147125;38654;2462;22130;14062
Brasil;;;76;;;;2020-04-20;17;210147125;40581;2575;22991;15015
Brasil;;;76;;;;2020-04-21;17;210147125;43079;2741;24325;16013
Brasil;;;76;;;;2020-04-22;17;210147125;45757;2906;25318;17533
Brasil;;;76;;;;2020-04-23;17;210147125;49492;3313;26573;19606
Brasil;;;76;;;;2020-04-24;17;210147125;52995;3670;27655;21670
Brasil;;;76;;;;2020-04-25;17;210147125;58509;4016;29160;25333
Brasil;;;76;;;;2020-04-26;18;210147125;61888;4205;30152;27531
Brasil;;;76;;;;2020-04-27;18;210147125;66501;4543;31142;30816
Brasil;;;76;;;;2020-04-28;18;210147125;71886;5017;32544;34325
Brasil;;;76;;;;2020-04-29;18;210147125;78162;5466;34132;38564
Brasil;;;76;;;;2020-04-30;18;210147125;85380;5901;35935;43544
Brasil;;;76;;;;2020-05-01;18;210147125;91299;6329;38039;47221
Brasil;;;76;;;;2020-05-02;18;210147125;96396;6724;40937;48872
Brasil;;;76;;;;2020-05-03;19;210147125;101147;7025;42991;51131
Brasil;;;76;;;;2020-05-04;19;210147125;107780;7321;45186;55273
Brasil;;;76;;;;2020-05-05;19;210147125;114715;7921;48221;58573
Brasil;;;76;;;;2020-05-06;19;210147125;125218;8535;51370;65312
Brasil;;;76;;;;2020-05-07;19;210147125;135106;9146;55350;70610
Brasil;;;76;;;;2020-05-08;19;210147125;145328;9897;59297;76134
Brasil;;;76;;;;2020-05-09;19;210147125;155939;10627;61685;83627
Brasil;;;76;;;;2020-05-10;20;210147125;162699;11123;64957;86619
Brasil;;;76;;;;2020-05-11;20;210147125;168331;11519;67384;89429
Brasil;;;76;;;;2020-05-12;20;210147125;177589;12400;72597;92593
